token,occurrences,length,keep_caps,has_vowels
AA,36,2,Y,Y
AAA,8,3,Y,Y
AAB,1,3,Y,Y
AAC,2,3,Y,Y
AADL,1,4,,Y
AAFA,1,4,,Y
AAFW,1,4,,Y
AAG,1,3,Y,Y
AAIA,1,4,,Y
AAJA,1,4,,Y
AAL,1,3,Y,Y
AAM,1,3,Y,Y
AAQ,1,3,Y,Y
AAR,1,3,Y,Y
AASP,1,4,,Y
AAT,7,3,Y,Y
AAV,1,3,Y,Y
AAYJ,1,4,,Y
AAZ,1,3,Y,Y
AB,60,2,Y,Y
ABA,20,3,Y,Y
ABAC,1,4,,Y
ABB,1,3,Y,Y
ABBA,2,4,,Y
ABBI,1,4,,Y
ABBR,1,4,,Y
ABBS,2,4,,Y
ABC,48,3,Y,Y
ABCA,2,4,,Y
ABD,1,3,Y,Y
ABDI,8,4,,Y
ABED,1,4,,Y
ABEL,4,4,,Y
ABF,1,3,Y,Y
ABFB,1,4,,Y
ABG,1,3,Y,Y
ABI,5,3,Y,Y
ABIA,1,4,,Y
ABIB,1,4,,Y
ABIS,1,4,,Y
ABK,1,3,Y,Y
ABL,5,3,Y,Y
ABLE,17,4,,Y
ABM,5,3,Y,Y
ABN,2,3,Y,Y
ABP,2,3,Y,Y
ABQ,2,3,Y,Y
ABRR,1,4,,Y
ABS,8,3,Y,Y
ABT,1,3,Y,Y
ABU,2,3,Y,Y
ABUK,1,4,,Y
ABY,1,3,Y,Y
ABYZ,1,4,,Y
AC,93,2,Y,Y
ACA,5,3,Y,Y
ACAA,2,4,,Y
ACAD,5,4,Y,Y
ACAI,1,4,,Y
ACAS,2,4,Y,Y
ACAT,1,4,,Y
ACC,18,3,Y,Y
ACCI,1,4,,Y
ACCO,3,4,,Y
ACCT,4,4,,Y
ACD,5,3,Y,Y
ACDA,1,4,,Y
ACDD,1,4,,Y
ACE,34,3,Y,Y
ACER,2,4,,Y
ACES,2,4,,Y
ACET,1,4,,Y
ACF,5,3,Y,Y
ACFE,1,4,,Y
ACG,2,3,Y,Y
ACH,1,3,Y,Y
ACHK,1,4,,Y
ACI,2,3,Y,Y
ACIG,1,4,,Y
ACJ,1,3,Y,Y
ACK,1,3,Y,Y
ACL,2,3,Y,Y
ACLS,1,4,,Y
ACLT,1,4,,Y
ACM,9,3,Y,Y
ACME,3,4,,Y
ACMR,1,4,,Y
ACO,3,3,Y,Y
ACOR,1,4,,Y
ACP,4,3,Y,Y
ACR,2,3,Y,Y
ACRE,7,4,,Y
ACRO,1,4,,Y
ACS,24,3,Y,Y
ACSK,1,4,,Y
ACT,26,3,Y,Y
ACTI,1,4,,Y
ACX,1,3,Y,Y
ACYC,1,4,,Y
AD,24,2,Y,Y
ADA,5,3,Y,Y
ADAM,32,4,,Y
ADAN,1,4,,Y
ADAS,2,4,,Y
ADC,2,3,Y,Y
ADCS,5,4,Y,Y
ADCX,1,4,,Y
ADD,1,3,Y,Y
ADDA,2,4,,Y
ADE,3,3,Y,Y
ADEL,1,4,,Y
ADEM,2,4,,Y
ADEN,2,4,,Y
ADES,1,4,,Y
ADH,1,3,Y,Y
ADHA,1,4,,Y
ADHD,23,4,,Y
ADI,6,3,Y,Y
ADJ,1,3,Y,Y
ADK,6,3,Y,Y
ADL,4,3,Y,Y
ADM,4,3,Y,Y
ADMH,1,4,,Y
ADMI,1,4,,Y
ADO,5,3,Y,Y
ADOB,1,4,,Y
ADP,6,3,Y,Y
ADPH,3,4,,Y
ADR,2,3,Y,Y
ADRU,1,4,,Y
ADS,15,3,Y,Y
ADSO,1,4,,Y
ADT,7,3,Y,Y
ADU,2,3,Y,Y
ADV,6,3,Y,Y
ADVI,1,4,,Y
ADW,3,3,Y,Y
ADXS,1,4,,Y
ADY,2,3,Y,Y
AE,14,2,Y,Y
AEA,6,3,Y,Y
AEAC,1,4,,Y
AEBI,3,4,,Y
AEC,5,3,Y,Y
AECQ,1,4,,Y
AED,1,3,Y,Y
AEF,1,3,Y,Y
AEG,3,3,Y,Y
AEH,1,3,Y,Y
AELP,1,4,,Y
AEON,1,4,,Y
AEP,3,3,Y,Y
AEPA,1,4,,Y
AER,3,3,Y,Y
AERO,2,4,,Y
AES,5,3,Y,Y
AET,1,3,Y,Y
AETA,1,4,,Y
AEUG,1,4,,Y
AEUP,1,4,,Y
AEX,1,3,Y,Y
AEYY,1,4,,Y
AF,9,2,Y,Y
AFAM,2,4,,Y
AFB,1,3,Y,Y
AFC,10,3,Y,Y
AFCL,1,4,,Y
AFD,2,3,Y,Y
AFDD,1,4,,Y
AFFI,1,4,,Y
AFG,1,3,Y,Y
AFIA,1,4,,Y
AFIF,1,4,,Y
AFJ,1,3,Y,Y
AFQ,1,3,Y,Y
AFRO,9,4,,Y
AFS,4,3,Y,Y
AFT,1,3,Y,Y
AFZA,1,4,,Y
AG,27,2,Y,Y
AGA,11,3,Y,Y
AGAR,1,4,,Y
AGB,4,3,Y,Y
AGBW,1,4,,Y
AGC,2,3,Y,Y
AGE,28,3,,Y
AGED,3,4,,Y
AGEN,2,4,,Y
AGG,1,3,Y,Y
AGHM,1,4,,Y
AGKU,1,4,,Y
AGL,2,3,Y,Y
AGM,3,3,Y,Y
AGMP,1,4,,Y
AGN,1,3,Y,Y
AGNC,1,4,,Y
AGQ,1,3,Y,Y
AGQP,1,4,,Y
AGRI,2,4,,Y
AGRY,1,4,,Y
AGS,2,3,Y,Y
AGUA,1,4,,Y
AGW,1,3,Y,Y
AGX,1,3,Y,Y
AGY,1,3,Y,Y
AGZ,2,3,Y,Y
AH,7,2,Y,Y
AHA,1,3,Y,Y
AHAS,2,4,,Y
AHDF,1,4,,Y
AHE,1,3,Y,Y
AHEH,1,4,,Y
AHHJ,1,4,,Y
AHHU,1,4,,Y
AHHV,1,4,,Y
AHIG,1,4,,Y
AHJ,1,3,Y,Y
AHK,1,3,Y,Y
AHLP,1,4,,Y
AHMK,1,4,,Y
AHNP,1,4,,Y
AHOY,1,4,,Y
AHP,3,3,Y,Y
AHPW,2,4,,Y
AHR,6,3,Y,Y
AHRO,1,4,,Y
AHS,1,3,Y,Y
AI,17,2,Y,Y
AIBK,1,4,,Y
AIC,1,3,Y,Y
AICO,1,4,,Y
AID,63,3,,Y
AIDS,8,4,,Y
AIF,1,3,Y,Y
AIFD,1,4,,Y
AIFS,1,4,,Y
AIG,2,3,Y,Y
AIGP,1,4,,Y
AIK,1,3,Y,Y
AIKE,1,4,,Y
AILH,1,4,,Y
AIM,23,3,Y,Y
AIMH,2,4,,Y
AIMS,4,4,,Y
AIP,1,3,Y,Y
AIPI,1,4,,Y
AIR,59,3,,Y
AIRO,1,4,,Y
AIRP,1,4,,Y
AIS,4,3,Y,Y
AISA,2,4,,Y
AIT,1,3,Y,Y
AIXC,1,4,,Y
AIZO,1,4,,Y
AJ,26,2,Y,Y
AJA,1,3,Y,Y
AJAX,1,4,,Y
AJAY,3,4,,Y
AJB,7,3,Y,Y
AJC,4,3,Y,Y
AJD,2,3,Y,Y
AJDK,1,4,,Y
AJF,1,3,Y,Y
AJFP,1,4,,Y
AJI,1,3,Y,Y
AJM,4,3,Y,Y
AJMN,1,4,,Y
AJN,1,3,Y,Y
AJP,6,3,Y,Y
AJR,5,3,Y,Y
AJS,9,3,Y,Y
AJTZ,1,4,,Y
AK,20,2,Y,Y
AKA,9,3,Y,Y
AKAB,1,4,,Y
AKAK,1,4,,Y
AKC,1,3,Y,Y
AKD,3,3,Y,Y
AKGD,1,4,,Y
AKJ,2,3,Y,Y
AKKM,1,4,,Y
AKL,1,3,Y,Y
AKM,3,3,Y,Y
AKMG,1,4,,Y
AKOA,1,4,,Y
AKOS,1,4,,Y
AKS,2,3,Y,Y
AKT,3,3,Y,Y
AKUA,1,4,,Y
AKW,9,3,Y,Y
AKZG,1,4,,Y
AL,34,2,Y,Y
ALAF,1,4,,Y
ALAG,2,4,,Y
ALAM,7,4,,Y
ALAN,31,4,,Y
ALAO,1,4,,Y
ALAR,1,4,,Y
ALAY,1,4,,Y
ALB,2,3,Y,Y
ALBA,3,4,,Y
ALCJ,1,4,,Y
ALD,3,3,Y,Y
ALDI,18,4,,Y
ALDP,1,4,,Y
ALE,1,3,Y,Y
ALEC,1,4,,Y
ALEX,15,4,,Y
ALF,1,3,Y,Y
ALFA,4,4,,Y
ALG,3,3,Y,Y
ALI,45,3,Y,Y
ALIF,2,4,,Y
ALIS,2,4,,Y
ALIX,4,4,,Y
ALKA,1,4,,Y
ALL,140,3,,Y
ALLA,1,4,,Y
ALLI,2,4,,Y
ALLT,1,4,,Y
ALLU,3,4,,Y
ALLY,2,4,,Y
ALM,5,3,Y,Y
ALMA,2,4,,Y
ALN,2,3,Y,Y
ALNE,1,4,,Y
ALO,1,3,Y,Y
ALOB,1,4,,Y
ALON,1,4,,Y
ALP,3,3,Y,Y
ALPH,1,4,,Y
ALPZ,1,4,,Y
ALS,6,3,Y,Y
ALSO,1,4,,Y
ALT,2,3,Y,Y
ALTE,1,4,,Y
ALTR,1,4,,Y
ALU,1,3,Y,Y
ALUM,1,4,,Y
