supplier_clean,amount,rowcount
Greater London Authority,1846000077,1235
Redacted Ltd,1252361396,414052
Matrix SCM Ltd,1058225922,187766
Veolia ES Ltd,982500316,3530
Nan,857202080.7,207
Personal Information - Redacted,795076657.1,42756
Personal data,518852209.1,263156
Achieving For Children,493361879.4,275
Ministry Of Housing Communities & Local Government,424244790.4,64
The Barnetgroup Ltd,411232905.1,788
Access UK Ltd,383142162.3,215046
HM Revenue & Customs,365818975.5,1056
JB Riney & Co Ltd,346040551.6,3073
Transport Trading Ltd,321235265.4,218
Wates Construction Ltd,294527987.1,263
Department For Levelling UP Housing & Communities,285801556.2,23
Redacted Sensitive Supplier,280421610.1,34901
Redacted Personal Information,279494764.8,87948
TFL,246559100,5768
FM Conway Ltd,239527689.9,8222
Teachers Pensions Agency,236712851.6,605
Hill Partnerships Ltd,230970821.6,274
Redacted - Personal Data,224390463.1,271910
HMRC Central Payroll,221971507.1,29
Adecco UK Ltd,215307095.2,36309
Inland Revenue,206378898.3,238
The Disability Syndicate,181797557.7,625
Higgins Partnerships Plc,177319238.2,303
Wates Property Services Ltd,172639516.5,221299
Mace Ltd,165591913.7,270
DWF Law LLP,160095317.4,3051
Museum Of London,155177058.5,42
Countryside Properties Ltd,147129809.4,219
Durkan Ltd,144460103.2,197
GLA Levies,141807780.4,60
F M Conway Ltd,140603802.2,3741
Morgan Sindall Property Services Ltd,139640811.7,15346
Willmott Dixon Construction Ltd,133497910.5,274
Formation Design & Build Ltd,130954072.5,124
Mears Ltd,125388551.1,61548
Comensura Ltd,123329116.3,468
Change Grow Live Services Ltd,121603826.8,814
Serco Ltd,120949956.1,321
Mulalley & Co Ltd,113009522.6,781
Mclaren Construction Ltd,110770165.5,81
Axis Europe Plc,109682383.9,2703
Greenwich Leisure Ltd,106098670.8,1319
West London Waste Authority,105804158.1,209
General,105267298.7,4491
Western Riverside Waste Authority,105212227.3,187
London Councils,103978429.4,1824
NSL Ltd,100698986.7,918
Capita Business Services Ltd,98802151.48,1193
Prepaid Financial Services Ltd,90620998.45,34684
Morgan Sindall Construction & Infrastructure Ltd,90363424.34,207
Care UK Community Partnerships Ltd,89722340.14,7850
East London Waste Authority,87282011.44,88
Greater London AUT,86501932.24,66
Bevan Brittan LLP,85886033.1,1410
Marlborough Highways Ltd,85060996.17,2159
Marsh Ltd,84499444.31,436
Lovell Partnerships Ltd,84126100.15,89
Kent County Council,83886141.79,16131
*******,83432927.43,51925
Ardmore Construction Group Ltd,83363643.65,20
Birketts LLP,81476465.33,2754
Nottingham Rehab Ltd,78615876.78,601
Achieve Together Services Ltd,77429982.34,9962
Hounslow Highways Services Ltd,77269079.31,611
J B Riney & Co Ltd,77144756.56,2411
Total Gas & Power Ltd,74100015.02,4632
Bugler Developments Ltd,73200584.2,185
BD Management Services Ltd,72412661.52,2829
Westminster Homecare Ltd,71338832.91,22952
Supreme Care Services Ltd,70857098.51,16911
T Brown Group Ltd,69707284.36,11589
NHS South East London ICB,69443078.08,221
Redacted - Sensitive Supplier/Service,67964598.19,9288
By Development Ltd,65955267.17,25
Taylor Woodrow Infrastructure Ltd,63538209.82,15
Choice Support,62613143.46,10181
Asset Plus Energy Performance Ltd,62564729,188
Apcoa Parking Ltd,62531437.37,531
Morgan Sindall Plc,61595387.21,20
Ardmore Construction Ltd,60146267.16,31
